time	EMPTY_DRIVE	PICKUP	OCCUPIED_DRIVE	DROPOFF	STAY	UNPLANNED
20:55	55.0	31.0	172.0	17.0	725.0	0.0
21:00	30.0	9.0	138.0	21.0	802.0	0.0
21:05	91.0	40.0	288.0	30.0	551.0	0.0
21:10	49.0	21.0	174.0	26.0	730.0	0.0
21:15	3.0	16.0	137.0	12.0	832.0	0.0
21:20	65.0	37.0	286.0	34.0	578.0	0.0
21:25	11.0	33.0	183.0	22.0	751.0	0.0
21:30	4.0	2.0	125.0	13.0	856.0	0.0
21:35	45.0	54.0	214.0	22.0	665.0	0.0
21:40	17.0	15.0	137.0	25.0	806.0	0.0
21:45	0.0	4.0	93.0	18.0	885.0	0.0
21:50	84.0	35.0	194.0	26.0	661.0	0.0
21:55	51.0	18.0	132.0	25.0	774.0	0.0
22:00	20.0	12.0	94.0	15.0	859.0	0.0
22:05	82.0	50.0	170.0	25.0	673.0	0.0
22:10	41.0	17.0	154.0	15.0	773.0	0.0
22:15	21.0	7.0	107.0	13.0	852.0	0.0
22:20	71.0	48.0	173.0	20.0	688.0	0.0
22:25	29.0	17.0	137.0	17.0	800.0	0.0
22:30	7.0	5.0	95.0	14.0	879.0	0.0
22:35	62.0	50.0	154.0	28.0	706.0	0.0
22:40	36.0	12.0	121.0	16.0	815.0	0.0
22:45	19.0	8.0	74.0	16.0	883.0	0.0
22:50	39.0	42.0	180.0	12.0	727.0	0.0
22:55	22.0	4.0	136.0	12.0	826.0	0.0
23:00	14.0	3.0	83.0	11.0	889.0	0.0
23:05	41.0	27.0	161.0	15.0	756.0	0.0
23:10	23.0	8.0	110.0	13.0	846.0	0.0
23:15	12.0	4.0	74.0	3.0	907.0	0.0
23:20	44.0	21.0	146.0	15.0	774.0	0.0
23:25	20.0	7.0	104.0	16.0	853.0	0.0
23:30	4.0	6.0	74.0	8.0	908.0	0.0
23:35	46.0	24.0	125.0	17.0	788.0	0.0
23:40	33.0	8.0	96.0	7.0	856.0	0.0
23:45	19.0	4.0	64.0	6.0	907.0	0.0
23:50	24.0	24.0	108.0	8.0	836.0	0.0
23:55	9.0	6.0	91.0	10.0	884.0	0.0
24:00	4.0	4.0	58.0	3.0	931.0	0.0
24:05	0.0	0.0	48.0	1.0	0.0	0.0
24:10	0.0	0.0	26.0	6.0	0.0	0.0
24:15	0.0	0.0	12.0	1.0	0.0	0.0
24:20	0.0	0.0	9.0	1.0	0.0	0.0
24:25	0.0	0.0	1.0	1.0	0.0	0.0
