time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_taxi	arrivals_taxi	stuck_taxi	en-route_taxi
14:00:00	50400	540	113	0	662	540	113	0	662
14:05:00	50700	0	322	0	340	0	322	0	340
14:10:00	51000	0	117	0	223	0	117	0	223
14:15:00	51300	553	110	0	666	553	110	0	666
14:20:00	51600	0	333	0	333	0	333	0	333
14:25:00	51900	0	136	0	197	0	136	0	197
14:30:00	52200	529	119	0	607	529	119	0	607
14:35:00	52500	0	309	0	298	0	309	0	298
14:40:00	52800	0	119	0	179	0	119	0	179
14:45:00	53100	600	91	0	688	600	91	0	688
14:50:00	53400	0	325	0	363	0	325	0	363
14:55:00	53700	0	149	0	214	0	149	0	214
15:00:00	54000	542	108	0	648	542	108	0	648
15:05:00	54300	0	349	0	299	0	349	0	299
15:10:00	54600	0	117	0	182	0	117	0	182
15:15:00	54900	534	87	0	629	534	87	0	629
15:20:00	55200	0	325	0	304	0	325	0	304
15:25:00	55500	0	141	0	163	0	141	0	163
15:30:00	55800	539	81	0	621	539	81	0	621
15:35:00	56100	0	304	0	317	0	304	0	317
15:40:00	56400	0	135	0	182	0	135	0	182
15:45:00	56700	558	86	0	654	558	86	0	654
15:50:00	57000	0	325	0	329	0	325	0	329
15:55:00	57300	0	124	0	205	0	124	0	205
16:00:00	57600	612	84	0	733	612	84	0	733
16:05:00	57900	0	332	0	401	0	332	0	401
16:10:00	58200	0	167	0	234	0	167	0	234
16:15:00	58500	608	122	0	720	608	122	0	720
16:20:00	58800	0	345	0	375	0	345	0	375
16:25:00	59100	0	177	0	198	0	177	0	198
16:30:00	59400	695	109	0	784	695	109	0	784
16:35:00	59700	0	343	0	441	0	343	0	441
16:40:00	60000	0	196	0	245	0	196	0	245
16:45:00	60300	670	114	0	801	670	114	0	801
16:50:00	60600	0	376	0	425	0	376	0	425
16:55:00	60900	0	184	0	241	0	184	0	241
17:00:00	61200	681	131	0	791	681	131	0	791
17:05:00	61500	0	391	0	400	0	391	0	400
17:10:00	61800	0	186	0	214	0	186	0	214
17:15:00	62100	663	114	0	763	663	114	0	763
17:20:00	62400	0	379	0	384	0	379	0	384
17:25:00	62700	0	190	0	194	0	190	0	194
17:30:00	63000	660	110	0	744	660	110	0	744
17:35:00	63300	0	379	0	365	0	379	0	365
17:40:00	63600	0	181	0	184	0	181	0	184
17:45:00	63900	613	115	0	682	613	115	0	682
17:50:00	64200	0	364	0	318	0	364	0	318
17:55:00	64500	0	161	0	157	0	161	0	157
18:00:00	64800	610	98	0	669	610	98	0	669
18:05:00	65100	0	332	0	337	0	332	0	337
18:10:00	65400	0	155	0	182	0	155	0	182
18:15:00	65700	604	118	0	668	604	118	0	668
18:20:00	66000	0	333	0	335	0	333	0	335
18:25:00	66300	0	153	0	182	0	153	0	182
18:30:00	66600	589	113	0	658	589	113	0	658
18:35:00	66900	0	316	0	342	0	316	0	342
18:40:00	67200	0	169	0	173	0	169	0	173
18:45:00	67500	522	103	0	592	522	103	0	592
18:50:00	67800	0	295	0	297	0	295	0	297
18:55:00	68100	0	138	0	159	0	138	0	159
19:00:00	68400	476	78	0	557	476	78	0	557
19:05:00	68700	0	266	0	291	0	266	0	291
19:10:00	69000	0	141	0	150	0	141	0	150
19:15:00	69300	473	85	0	538	473	85	0	538
19:20:00	69600	0	264	0	274	0	264	0	274
19:25:00	69900	0	112	0	162	0	112	0	162
19:30:00	70200	472	102	0	532	472	102	0	532
19:35:00	70500	0	215	0	317	0	215	0	317
19:40:00	70800	0	134	0	183	0	134	0	183
19:45:00	71100	397	98	0	482	397	98	0	482
19:50:00	71400	0	230	0	252	0	230	0	252
19:55:00	71700	0	107	0	145	0	107	0	145
20:00:00	72000	404	91	0	458	404	91	0	458
20:05:00	72300	0	201	0	257	0	201	0	257
20:10:00	72600	0	84	0	173	0	84	0	173
20:15:00	72900	373	84	0	462	373	84	0	462
20:20:00	73200	0	190	0	272	0	190	0	272
20:25:00	73500	0	93	0	179	0	93	0	179
20:30:00	73800	362	95	0	446	362	95	0	446
20:35:00	74100	0	159	0	287	0	159	0	287
20:40:00	74400	0	96	0	191	0	96	0	191
20:45:00	74700	338	80	0	449	338	80	0	449
20:50:00	75000	0	174	0	275	0	174	0	275
20:55:00	75300	0	77	0	198	0	77	0	198
21:00:00	75600	338	87	0	449	338	87	0	449
21:05:00	75900	0	179	0	270	0	179	0	270
21:10:00	76200	0	102	0	168	0	102	0	168
21:15:00	76500	329	75	0	422	329	75	0	422
21:20:00	76800	0	173	0	249	0	173	0	249
21:25:00	77100	0	105	0	144	0	105	0	144
